test.csv benchmark,type,value,source
linear-algebra-symm,hls,2186,results/2020_07_28_11_18
linear-algebra-symm,futil,226,results/2020_07_28_11_18
linear-algebra-2mm,hls,2267,results/2020_07_28_11_18
linear-algebra-2mm,futil,306,results/2020_07_28_11_18
linear-algebra-trmm,hls,1498,results/2020_07_28_11_18
linear-algebra-trmm,futil,192,results/2020_07_28_11_18
linear-algebra-syr2k,hls,2068,results/2020_07_28_11_18
linear-algebra-syr2k,futil,326,results/2020_07_28_11_18
linear-algebra-syrk,hls,1825,results/2020_07_28_11_18
linear-algebra-syrk,futil,358,results/2020_07_28_11_18
linear-algebra-trisolv,hls,1830,results/2020_07_28_11_18
linear-algebra-trisolv,futil,175,results/2020_07_28_11_18
linear-algebra-bicg,hls,1804,results/2020_07_28_11_18
linear-algebra-bicg,futil,285,results/2020_07_28_11_18
linear-algebra-atax,hls,1769,results/2020_07_28_11_18
linear-algebra-atax,futil,322,results/2020_07_28_11_18
linear-algebra-gesummv,hls,2112,results/2020_07_28_11_18
linear-algebra-gesummv,futil,212,results/2020_07_28_11_18
linear-algebra-gemm,hls,1839,results/2020_07_28_11_18
linear-algebra-gemm,futil,290,results/2020_07_28_11_18
dot-product,hls,216,results/2020_07_28_11_18
dot-product,futil,97,results/2020_07_28_11_18
linear-algebra-gemver,hls,3193,results/2020_07_28_11_18
linear-algebra-gemver,futil,450,results/2020_07_28_11_18
linear-algebra-mvt,hls,1816,results/2020_07_28_11_18
linear-algebra-mvt,futil,256,results/2020_07_28_11_18
linear-algebra-3mm,hls,2572,results/2020_07_28_11_36
linear-algebra-3mm,futil,443,results/2020_07_28_11_36
linear-algebra-lu,hls,2078,results/2020_07_28_11_36
linear-algebra-lu,futil,405,results/2020_07_28_11_36

