benchmark,type,value
linear-algebra-symm,hls,2186
linear-algebra-symm,futil,226
linear-algebra-2mm,hls,2267
linear-algebra-2mm,futil,306
linear-algebra-trmm,hls,1498
linear-algebra-trmm,futil,192
linear-algebra-syr2k,hls,2068
linear-algebra-syr2k,futil,326
linear-algebra-syrk,hls,1825
linear-algebra-syrk,futil,358
linear-algebra-trisolv,hls,1830
linear-algebra-trisolv,futil,175
linear-algebra-bicg,hls,1804
linear-algebra-bicg,futil,285
linear-algebra-atax,hls,1769
linear-algebra-atax,futil,322
linear-algebra-gesummv,hls,2112
linear-algebra-gesummv,futil,212
linear-algebra-gemm,hls,1839
linear-algebra-gemm,futil,290
dot-product,hls,216
dot-product,futil,97
linear-algebra-gemver,hls,3193
linear-algebra-gemver,futil,450
linear-algebra-mvt,hls,1816
linear-algebra-mvt,futil,256
